COD_DANE_A,Residential buildings (TVIVIENDA),Residential Occupied&Used (TP15_1_OCU),Residential Occupied&Empty (TP15_2_OCU),Residential Temporary (TP15_3_OCU),Residential Empty (TP15_4_OCU),Households (TP16_HOG),Residential Electricity Y (TP19_EE_1),Residential Electricity N (TP19_EE_2)
0504510000000000020207,113,101,1,0,11,109,101,0
0504510000000000020210,34,17,5,1,11,17,17,0
0504510000000000020209,40,30,0,0,10,30,30,0
0504510000000000020220,110,89,11,0,10,94,89,0
0504510000000000020219,8,8,0,0,0,8,6,2
0504510000000000020222,107,87,6,0,14,88,85,2
0504510000000000020221,0,0,0,0,0,0,0,0
0504510000000000020216,0,0,0,0,0,0,0,0
0504510000000000020215,11,8,0,0,3,8,8,0
0504510000000000020218,192,165,2,1,24,165,165,0
0504510000000000020217,51,51,0,0,0,54,51,0
0504510000000000020112,53,37,5,5,6,37,37,0
0504510000000000020111,23,16,0,0,7,16,16,0
0504510000000000020114,51,28,11,3,9,28,28,0
0504510000000000020113,17,9,1,1,6,9,9,0
0504510000000000020108,15,10,0,0,5,10,10,0
0504510000000000020107,21,6,10,2,3,6,6,0
0504510000000000020110,16,14,0,1,1,14,14,0
0504510000000000020109,3,0,0,0,3,0,0,0
0504510000000000020203,60,53,1,0,6,54,53,0
0504510000000000020202,53,40,1,0,12,43,40,0
0504510000000000020206,0,0,0,0,0,0,0,0
0504510000000000020204,53,46,1,0,6,46,46,0
0504510000000000020116,28,25,1,0,2,25,25,0
0504510000000000020115,11,8,2,0,1,8,8,0
0504510000000000020201,7,5,0,0,2,5,5,0
0504510000000000020118,44,28,0,0,16,28,28,0
0504510000000000010615,0,0,0,0,0,0,0,0
0504510000000000010614,0,0,0,0,0,0,0,0
0504510000000000010617,0,0,0,0,0,0,0,0
0504510000000000010616,0,0,0,0,0,0,0,0
0504510000000000010611,10,7,2,0,1,7,7,0
0504510000000000010610,30,25,0,0,5,25,24,1
0504510000000000010613,0,0,0,0,0,0,0,0
0504510000000000010612,0,0,0,0,0,0,0,0
0504510000000000020103,19,12,3,0,4,12,12,0
0504510000000000020102,44,24,6,4,10,24,24,0
0504510000000000020106,6,0,1,0,5,0,0,0
0504510000000000020105,0,0,0,0,0,0,0,0
0504510000000000010619,0,0,0,0,0,0,0,0
0504510000000000010618,0,0,0,0,0,0,0,0
0504510000000000010621,0,0,0,0,0,0,0,0
0504510000000000010620,0,0,0,0,0,0,0,0
0504510000000000010524,13,13,0,0,0,13,13,0
0504510000000000010520,55,46,3,2,4,46,46,0
0504510000000000010601,52,44,4,0,4,44,44,0
0504510000000000010525,22,17,4,1,0,17,17,0
0504510000000000010516,20,14,4,0,2,14,14,0
0504510000000000010515,12,11,0,0,1,11,11,0
0504510000000000010518,14,14,0,0,0,15,14,0
0504510000000000010517,48,38,2,0,8,38,38,0
0504510000000000010607,15,12,1,0,2,12,12,0
0504510000000000010606,18,16,2,0,0,17,16,0
0504510000000000010609,19,14,5,0,0,14,14,0
0504510000000000010608,8,7,0,0,1,7,7,0
0504510000000000010603,9,7,2,0,0,7,7,0
0504510000000000010602,19,14,5,0,0,16,14,0
0504510000000000010605,42,33,5,1,3,33,33,0
0504510000000000010604,22,16,5,0,1,16,16,0
0504510000000000010502,48,31,9,0,8,31,31,0
0504510000000000010501,45,34,9,0,2,34,34,0
0504510000000000010505,70,56,13,0,1,56,56,0
0504510000000000010504,59,49,5,0,5,49,49,0
0504510000000000010422,0,0,0,0,0,0,0,0
0504510000000000010421,0,0,0,0,0,0,0,0
0504510000000000010424,2,0,2,0,0,0,0,0
0504510000000000010423,7,7,0,0,0,7,7,0
0504510000000000010512,10,5,1,0,4,5,5,0
0504510000000000010511,0,0,0,0,0,0,0,0
0504510000000000010514,1,0,0,0,1,0,0,0
0504510000000000010513,6,6,0,0,0,6,6,0
0504510000000000010507,29,20,7,0,2,20,20,0
0504510000000000010506,51,32,7,0,12,32,32,0
0504510000000000010509,19,14,2,1,2,14,14,0
0504510000000000010508,47,25,11,0,11,27,25,0
0504510000000000010406,10,8,1,0,1,8,8,0
0504510000000000010405,8,6,1,0,1,6,6,0
0504510000000000010408,7,4,1,0,2,4,4,0
0504510000000000010407,20,15,3,0,2,15,15,0
0504510000000000010402,28,16,5,2,5,16,16,0
0504510000000000010401,2,0,0,0,2,0,0,0
0504510000000000010404,27,14,4,2,7,14,14,0
0504510000000000010403,27,21,2,1,3,21,21,0
0504510000000000010416,34,30,3,0,1,30,29,1
0504510000000000010415,23,18,1,1,3,18,18,0
0504510000000000010419,24,12,11,0,1,12,12,0
0504510000000000010418,49,31,11,0,7,31,29,2
0504510000000000010411,8,6,2,0,0,6,6,0
0504510000000000010409,26,11,8,0,7,11,11,0
0504510000000000010414,17,15,0,0,2,15,14,1
0504510000000000010412,6,4,2,0,0,4,4,0
0504510000000000010311,38,30,0,0,8,31,30,0
0504510000000000010310,20,14,2,0,4,14,13,1
0504510000000000010313,28,25,0,0,3,25,24,1
0504510000000000010312,24,17,4,0,3,17,17,0
0504510000000000010307,64,58,3,0,3,63,58,0
0504510000000000010306,73,44,17,1,11,44,44,0
0504510000000000010309,17,16,0,1,0,16,16,0
0504510000000000010308,56,40,8,1,7,41,40,0
0504510000000000010319,51,43,0,2,6,44,42,1
0504510000000000010318,70,53,8,0,9,53,53,0
0504510000000000010327,0,0,0,0,0,0,0,0
0504510000000000010326,0,0,0,0,0,0,0,0
0504510000000000010315,33,30,0,2,1,30,30,0
0504510000000000010314,0,0,0,0,0,0,0,0
0504510000000000010317,21,12,5,0,4,12,12,0
0504510000000000010316,51,29,14,0,8,29,29,0
0504510000000000050113,33,30,0,2,1,30,30,0
0504510000000000050112,41,38,2,0,1,38,37,1
0504510000000000050115,0,0,0,0,0,0,0,0
0504510000000000050114,43,40,1,1,1,41,40,0
0504510000000000050109,25,23,1,1,0,23,22,1
0504510000000000050108,29,27,0,0,2,28,27,0
0504510000000000050111,0,0,0,0,0,0,0,0
0504510000000000050110,40,33,3,0,4,33,33,0
0504510000000000050121,0,0,0,0,0,0,0,0
0504510000000000050120,16,15,0,0,1,17,15,0
0504510000000000050204,0,0,0,0,0,0,0,0
0504510000000000050122,0,0,0,0,0,0,0,0
0504510000000000050117,35,29,1,2,3,29,29,0
0504510000000000050116,67,60,3,1,3,60,59,1
0504510000000000050119,18,15,2,0,1,16,15,0
0504510000000000050118,0,0,0,0,0,0,0,0
0504510000000000040726,24,19,1,0,4,19,19,0
0504510000000000040725,17,10,2,0,5,10,10,0
0504510000000000040740,30,29,0,0,1,35,29,0
0504510000000000040727,27,22,1,0,4,23,22,0
0504510000000000040720,22,19,1,0,2,22,19,0
0504510000000000040714,41,37,0,0,4,42,37,0
0504510000000000040724,31,28,0,0,3,30,28,0
0504510000000000040723,16,16,0,0,0,16,16,0
0504510000000000050105,45,40,3,0,2,40,40,0
0504510000000000050104,0,0,0,0,0,0,0,0
0504510000000000050107,25,24,0,0,1,24,24,0
0504510000000000050106,19,19,0,0,0,19,19,0
0504510000000000040742,22,18,2,0,2,18,17,1
0504510000000000040741,22,18,0,0,4,23,18,0
0504510000000000050103,42,38,3,0,1,41,38,0
0504510000000000050101,41,36,1,1,3,36,36,0
0504510000000000040633,30,25,4,1,0,25,25,0
0504510000000000040632,4,4,0,0,0,5,4,0
0504510000000000040705,48,42,2,0,4,44,42,0
