CONST_P_name,CONST_P,total.girls.18_24,married.18.above,married.before.18,married.NA,rate.cm.18.above,rate.cm.before.18,rate.cm.NA,total.youth.14_18,attending.sec.school,rate.sec.attendance,total.youth.20_24,neet,rate.neet
Chisamba,1,700,270,164,266,0.39,0.23,0.38,1300,488,0.38,933,316,0.34
Katuba,2,586,175,160,251,0.3,0.27,0.43,1058,420,0.4,740,365,0.49
Keembe,3,854,239,254,361,0.28,0.3,0.42,1564,581,0.37,1051,411,0.39
Bwacha,4,642,180,122,340,0.28,0.19,0.53,1091,611,0.56,794,395,0.5
Kabwe Central,5,1110,212,125,773,0.19,0.11,0.7,1749,1124,0.64,1354,585,0.43
Kapiri Mposhi,6,1742,455,513,774,0.26,0.29,0.44,3212,1159,0.36,2202,597,0.27
Mkushi North,7,934,285,293,356,0.31,0.31,0.38,1600,547,0.34,1195,452,0.38
Mkushi South,8,174,44,67,63,0.25,0.39,0.36,298,89,0.3,222,62,0.28
Mwembezhi,9,380,104,87,189,0.27,0.23,0.5,667,252,0.38,490,147,0.3
Mumbwa,10,655,181,154,320,0.28,0.24,0.49,1181,510,0.43,780,267,0.34
Nangoma,11,559,164,172,223,0.29,0.31,0.4,976,379,0.39,692,167,0.24
Chitambo,12,287,91,83,113,0.32,0.29,0.39,552,150,0.27,354,53,0.15
Muchinga,13,354,82,96,176,0.23,0.27,0.5,650,199,0.31,409,60,0.15
Serenje,14,449,122,133,194,0.27,0.3,0.43,791,307,0.39,527,148,0.28
Chililabombwe,15,758,232,91,435,0.31,0.12,0.57,1260,783,0.62,1002,501,0.5
Chingola,16,994,254,161,579,0.26,0.16,0.58,1577,984,0.62,1216,634,0.52
Nchanga,17,741,157,72,512,0.21,0.1,0.69,1267,835,0.66,923,459,0.5
Kalulushi,18,738,181,138,419,0.25,0.19,0.57,1301,808,0.62,917,420,0.46
Chimwemwe,19,884,225,150,509,0.25,0.17,0.58,1470,878,0.6,1100,583,0.53
Kamfinsa,20,714,171,101,442,0.24,0.14,0.62,1136,680,0.6,895,442,0.49
Kwacha,21,1110,248,165,697,0.22,0.15,0.63,1751,1045,0.6,1409,674,0.48
Nkana,22,744,196,74,474,0.26,0.1,0.64,1120,759,0.68,929,511,0.55
Wusakile,23,779,185,107,487,0.24,0.14,0.63,1334,841,0.63,994,541,0.54
Luanshya,24,806,191,107,508,0.24,0.13,0.63,1394,872,0.63,996,497,0.5
Roan,25,520,91,29,400,0.17,0.06,0.77,1056,786,0.74,606,329,0.54
Kankoyo,26,363,99,55,209,0.27,0.15,0.58,634,433,0.68,418,239,0.57
Kantanshi,27,469,90,33,346,0.19,0.07,0.74,892,606,0.68,597,295,0.49
Mufurila,28,481,110,73,298,0.23,0.15,0.62,889,568,0.64,550,299,0.54
Kafulafuta,29,253,77,73,103,0.3,0.29,0.41,521,211,0.4,309,64,0.21
Lufwanyama,30,479,130,167,182,0.27,0.35,0.38,987,401,0.41,630,132,0.21
Masaiti,31,382,107,113,162,0.28,0.3,0.42,746,342,0.46,472,118,0.25
Mpongwe,32,657,187,210,260,0.28,0.32,0.4,1208,463,0.38,811,60,0.07
Bwana Mkubwa,33,905,218,135,552,0.24,0.15,0.61,1606,973,0.61,1139,577,0.51
Chifubu,34,791,227,95,469,0.29,0.12,0.59,1326,844,0.64,1088,591,0.54
Kabushi,35,797,217,126,454,0.27,0.16,0.57,1272,796,0.63,1019,540,0.53
Ndola,36,1081,239,213,629,0.22,0.2,0.58,1778,895,0.5,1390,613,0.44
Chadiza,37,424,130,128,166,0.31,0.3,0.39,765,181,0.24,526,47,0.09
Vubwi,38,280,99,108,73,0.35,0.39,0.26,468,90,0.19,366,16,0.04
Chama North,39,353,106,153,94,0.3,0.43,0.27,554,171,0.31,434,39,0.09
Chama South,40,318,95,142,81,0.3,0.45,0.25,572,173,0.3,410,31,0.08
Chipangali,41,813,290,282,241,0.36,0.35,0.3,1430,392,0.27,1048,216,0.21
Chipata Central,42,1316,403,272,641,0.31,0.21,0.49,2103,999,0.48,1709,752,0.44
Kasenengwa,43,653,204,250,199,0.31,0.38,0.3,1143,283,0.25,829,155,0.19
Luangeni,44,490,148,176,166,0.3,0.36,0.34,951,238,0.25,638,87,0.14
Milanzi,45,435,128,184,123,0.29,0.42,0.28,730,136,0.19,549,38,0.07
Mkaika,46,640,177,221,242,0.28,0.35,0.38,1165,328,0.28,818,103,0.13
Sinda,47,583,164,241,178,0.28,0.41,0.31,964,198,0.21,697,65,0.09
Chasefu,48,705,239,308,158,0.34,0.44,0.22,1083,253,0.23,923,58,0.06
Lumezi,49,619,213,244,162,0.34,0.39,0.26,1047,251,0.24,748,149,0.2
Lundazi,50,918,317,340,261,0.35,0.37,0.28,1503,422,0.28,1129,324,0.29
Malambo,51,475,133,147,195,0.28,0.31,0.41,886,312,0.35,573,163,0.28
Nyimba,52,561,173,212,176,0.31,0.38,0.31,987,194,0.2,696,158,0.23
Kapoche,53,762,220,293,249,0.29,0.38,0.33,1336,196,0.15,1000,217,0.22
Msanzala,54,879,269,279,331,0.31,0.32,0.38,1399,407,0.29,1074,294,0.27
Petauke,55,451,148,164,139,0.33,0.36,0.31,757,179,0.24,584,117,0.2
Kawambwa,56,373,91,71,211,0.24,0.19,0.57,651,294,0.45,439,59,0.13
Mwansabombwe,57,302,84,68,150,0.28,0.23,0.5,537,176,0.33,365,70,0.19
Pambashe,58,293,84,78,131,0.29,0.27,0.45,482,142,0.29,322,54,0.17
Bahati,59,631,181,164,286,0.29,0.26,0.45,1129,413,0.37,790,193,0.24
Chembe,60,257,78,76,103,0.3,0.3,0.4,493,150,0.3,291,11,0.04
Mansa,61,1008,267,218,523,0.26,0.22,0.52,1682,692,0.41,1188,296,0.25
Chipili,62,215,60,78,77,0.28,0.36,0.36,381,118,0.31,260,83,0.32
Mambilima,63,157,42,51,64,0.27,0.32,0.41,308,103,0.33,180,88,0.49
Mwense,64,417,115,96,206,0.28,0.23,0.49,690,251,0.36,516,208,0.4
Chienge,65,781,257,258,266,0.33,0.33,0.34,1257,294,0.23,928,301,0.32
Nchelenge,66,1040,369,287,384,0.35,0.28,0.37,1663,435,0.26,1290,205,0.16
Bangweulu,67,591,190,184,217,0.32,0.31,0.37,1054,360,0.34,727,225,0.31
Chifunabuli,68,546,151,189,206,0.28,0.35,0.38,916,258,0.28,648,142,0.22
Luapula,69,166,51,66,49,0.31,0.4,0.3,258,47,0.18,189,45,0.24
Kafue,70,904,226,156,522,0.25,0.17,0.58,1567,816,0.52,1144,554,0.48
Feira,71,155,46,34,75,0.3,0.22,0.48,303,135,0.45,205,71,0.35
Chilanga,72,830,231,171,428,0.28,0.21,0.52,1305,628,0.48,1092,490,0.45
Chongwe,73,1004,297,236,471,0.3,0.24,0.47,1709,735,0.43,1308,557,0.43
Rufunsa,74,311,90,86,135,0.29,0.28,0.43,616,193,0.31,356,101,0.28
Chawama,75,1599,550,303,746,0.34,0.19,0.47,2052,1047,0.51,2064,1069,0.52
Kabwata,76,1730,300,86,1344,0.17,0.05,0.78,2126,1400,0.66,2157,889,0.41
Kanyama,77,3110,1074,632,1404,0.35,0.2,0.45,4071,2217,0.54,4003,2065,0.52
Lusaka Central,78,1096,185,102,809,0.17,0.09,0.74,1461,857,0.59,1363,557,0.41
Mandevu,79,2996,927,518,1551,0.31,0.17,0.52,4194,2283,0.54,3794,1965,0.52
Matero,80,2403,672,302,1429,0.28,0.13,0.59,3610,2204,0.61,3140,1680,0.54
Munali,81,2426,600,206,1620,0.25,0.08,0.67,3328,2040,0.61,3036,1420,0.47
Chilubi,82,510,138,204,168,0.27,0.4,0.33,876,179,0.2,585,16,0.03
Chinsali,83,596,177,206,213,0.3,0.35,0.36,1001,338,0.34,706,116,0.16
Shiwang'andu,84,373,138,127,108,0.37,0.34,0.29,697,189,0.27,487,93,0.19
Mafinga,85,473,154,167,152,0.33,0.35,0.32,781,213,0.27,606,33,0.05
Isoka,86,508,167,160,181,0.33,0.31,0.36,874,288,0.33,649,117,0.18
Nakonde,87,918,324,307,287,0.35,0.33,0.31,1424,524,0.37,1144,472,0.41
Chimbamilonga,88,300,100,111,89,0.33,0.37,0.3,520,88,0.17,373,87,0.23
Kaputa,89,438,127,170,141,0.29,0.39,0.32,741,163,0.22,534,168,0.31
Kasama Central,90,1210,327,346,537,0.27,0.29,0.44,1991,952,0.48,1499,549,0.37
Lukashya,91,467,154,160,153,0.33,0.34,0.33,842,272,0.32,610,147,0.24
Malole,92,971,315,358,298,0.32,0.37,0.31,1637,396,0.24,1156,188,0.16
Lubansenshi,93,356,118,107,131,0.33,0.3,0.37,581,204,0.35,448,126,0.28
Lupososhi,94,481,138,176,167,0.29,0.37,0.35,785,170,0.22,589,166,0.28
Mbala,95,842,229,324,289,0.27,0.38,0.34,1339,402,0.3,1006,312,0.31
Mpulungu,96,711,194,309,208,0.27,0.43,0.29,1063,220,0.21,858,282,0.33
Senga Hill,97,624,208,236,180,0.33,0.38,0.29,1070,256,0.24,753,154,0.2
Kanchibiya,98,555,149,212,194,0.27,0.38,0.35,918,201,0.22,643,118,0.18
Mfuwe,99,190,60,71,59,0.32,0.37,0.31,314,90,0.29,224,43,0.19
Mpika,100,742,194,196,352,0.26,0.26,0.47,1192,580,0.49,878,275,0.31
Lunte,101,377,130,130,117,0.34,0.34,0.31,657,238,0.36,466,68,0.15
Mporokoso,102,265,79,74,112,0.3,0.28,0.42,494,216,0.44,320,76,0.24
Chavuma,103,227,68,48,111,0.3,0.21,0.49,396,147,0.37,291,137,0.47
Kabompo East,104,326,83,51,192,0.25,0.16,0.59,562,223,0.4,439,81,0.18
